epoch,train_loss,val_f1,val_auc,val_eer,val_acc,val_precision,val_recall,inf_ms,grad_norm
0,0.5387384208237253,0.9388753056234719,0.8237776377675863,0.24643584521384929,0.8884924174843889,0.90310442144873,0.9775967413441955,1.853,1.371350
1,0.20368960881378592,0.9775112443778111,0.9936189541238699,0.032586558044806486,0.9598572702943801,0.9597644749754661,0.9959266802443992,1.746,3.356890
2,0.07249607445626724,0.99341104916371,0.9975017948980938,0.02158273381387803,0.9884032114183765,0.9889001009081736,0.9979633401221996,1.923,2.563453
3,0.05459789064054082,0.9844455594581034,0.9971208369353397,0.028776978416539867,0.9723461195361285,0.9703264094955489,0.9989816700610998,1.764,2.941375
4,0.03482447344264606,0.9954245043213015,0.9990769095517884,0.014388489208859802,0.991971454058876,0.9939086294416244,0.9969450101832994,1.857,1.956544
5,0.02507094037151191,0.9712493465760585,0.9970255974446512,0.028776978417399342,0.9509366636931311,0.9978517722878625,0.9460285132382892,1.828,1.365643
6,0.027908882711128128,0.9969512195121951,0.9993553019091855,0.014388489209382165,0.9946476360392507,0.9949290060851927,0.9989816700610998,1.842,0.772589
7,0.018087999690778372,0.9944190766108574,0.9993259974505121,0.01438848920798949,0.9901873327386262,0.9908998988877654,0.9979633401221996,1.912,3.556528
8,0.01267992093500386,0.9908163265306122,0.9980585796128881,0.028776978416956117,0.983942908117752,0.9928425357873211,0.9887983706720977,1.642,4.356589
9,0.009861443603479462,0.9954337899543378,0.9994212369412007,0.008146639511210446,0.991971454058876,0.9919110212335692,0.9989816700610998,2.273,2.145746
