epoch,train_loss,val_f1,val_auc,val_eer,val_acc,val_precision,val_recall,inf_ms,grad_norm
0,0.508752183216374,0.9442307692307692,0.8243124441383756,0.23021582733751086,0.8965209634255129,0.8943533697632058,1.0,1.776,0.854518
1,0.21230352470060673,0.9636898920510304,0.9867690369089657,0.057553956835812096,0.9339875111507583,0.9299242424242424,1.0,1.899,2.544600
2,0.07954658749626904,0.977914740626605,0.99002915793638,0.050359712231119645,0.9616413916146298,0.9865284974093265,0.9694501018329938,2.369,1.572937
3,0.049516465287746454,0.9882593159775396,0.9960585503084295,0.043788187372228636,0.9794826048171276,0.9907881269191402,0.9857433808553971,1.921,1.941676
4,0.040586717858365394,0.991374936580416,0.9986300165570191,0.021582733813592953,0.9848349687778769,0.9878665318503539,0.994908350305499,2.387,1.444440
5,0.023364714823844956,0.9918864097363083,0.999282040762502,0.013238289205702749,0.9857270294380018,0.9878787878787879,0.9959266802443992,1.749,2.010460
6,0.016952664733341918,0.9924050632911392,0.9987032777037026,0.02158273381206076,0.9866190900981266,0.9869083585095669,0.9979633401221996,1.775,5.754114
7,0.014168851634078636,0.9897435897435898,0.9984468636903104,0.021582733813258193,0.9821587867975022,0.996900826446281,0.9826883910386965,2.052,0.819116
8,0.010598860073425784,0.9904088844018173,0.9994212369412007,0.010183299389003359,0.9830508474576272,0.9819819819819819,0.9989816700610998,1.934,1.351301
9,0.017072829466154116,0.9908536585365854,0.9976922738794708,0.02158273381114953,0.983942908117752,0.9888438133874239,0.9928716904276986,1.812,0.556294
