experiment,AUC,EER,F1,Accuracy,interpretation
no-att,0.9991379310344827,0.01946721311475388,0.9933842239185751,0.9884032114183765,fill_in_report_text
gap,0.9969968908988129,0.02766393442622962,0.9892252437147255,0.9812667261373773,fill_in_report_text
duration_1s,0.9243711136235161,0.1577868852458941,0.9622266401590457,0.9322033898305084,fill_in_report_text
weighted_loss_off,0.9981062747314867,0.0215163934426231,0.9903602232369355,0.9830508474576272,fill_in_report_text
weighted_loss_on,0.99715941209723,0.032786885245897755,0.9898477157360406,0.9821587867975022,fill_in_report_text
